event_definition,variable_name,coding_system,event_code,tags,code_no_dot
Depression,Ment_DEPRESSION_COV,MEDCODEID,1976051000006112,narrow,1976051000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,1976211000006116,narrow,1976211000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,1976231000006110,narrow,1976231000006110
Depression,Ment_DEPRESSION_COV,MEDCODEID,1976251000006115,narrow,1976251000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,1976271000006113,narrow,1976271000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,1976371000006116,narrow,1976371000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,1976411000006115,narrow,1976411000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,1976491000006113,narrow,1976491000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,1976921000006116,narrow,1976921000006116
Depression,Ment_DEPRESSION_COV,MEDCODEID,2017961000006113,narrow,2017961000006113
Depression,Ment_DEPRESSION_COV,MEDCODEID,202561000006114,narrow,202561000006114
Depression,Ment_DEPRESSION_COV,MEDCODEID,213641000000111,narrow,213641000000111
Depression,Ment_DEPRESSION_COV,MEDCODEID,223651000000118,narrow,223651000000118
Depression,Ment_DEPRESSION_COV,MEDCODEID,223741000000112,narrow,223741000000112
Depression,Ment_DEPRESSION_COV,MEDCODEID,2370061000000111,narrow,2370061000000111
Depression,Ment_DEPRESSION_COV,MEDCODEID,2391541000000115,narrow,2391541000000115
Depression,Ment_DEPRESSION_COV,MEDCODEID,2474715017,narrow,2474715017
Depression,Ment_DEPRESSION_COV,MEDCODEID,2474716016,narrow,2474716016
Depression,Ment_DEPRESSION_COV,MEDCODEID,251190013,narrow,251190013
Depression,Ment_DEPRESSION_COV,MEDCODEID,251629019,narrow,251629019
Depression,Ment_DEPRESSION_COV,MEDCODEID,2533375017,narrow,2533375017
Depression,Ment_DEPRESSION_COV,MEDCODEID,2534091015,narrow,2534091015
Depression,Ment_DEPRESSION_COV,MEDCODEID,2534092010,narrow,2534092010
Depression,Ment_DEPRESSION_COV,MEDCODEID,2534096013,narrow,2534096013
Depression,Ment_DEPRESSION_COV,MEDCODEID,2540711000006115,narrow,2540711000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,2620391000000111,narrow,2620391000000111
Depression,Ment_DEPRESSION_COV,MEDCODEID,2646121000006115,narrow,2646121000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,2659601000000116,narrow,2659601000000116
Depression,Ment_DEPRESSION_COV,MEDCODEID,2729751000000118,narrow,2729751000000118
Depression,Ment_DEPRESSION_COV,MEDCODEID,2729991000000112,narrow,2729991000000112
Depression,Ment_DEPRESSION_COV,MEDCODEID,2730011000000110,narrow,2730011000000110
Depression,Ment_DEPRESSION_COV,MEDCODEID,2798691000006112,narrow,2798691000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,2914841000006115,narrow,2914841000006115
Depression,Ment_DEPRESSION_COV,MEDCODEID,2929931000006112,narrow,2929931000006112
Depression,Ment_DEPRESSION_COV,MEDCODEID,294621000000118,narrow,294621000000118
Depression,Ment_DEPRESSION_COV,MEDCODEID,294642013,narrow,294642013
Depression,Ment_DEPRESSION_COV,MEDCODEID,294644014,narrow,294644014
Depression,Ment_DEPRESSION_COV,MEDCODEID,294646011,narrow,294646011
Depression,Ment_DEPRESSION_COV,MEDCODEID,294647019,narrow,294647019
Depression,Ment_DEPRESSION_COV,MEDCODEID,294655014,narrow,294655014
Depression,Ment_DEPRESSION_COV,MEDCODEID,294690018,narrow,294690018
Depression,Ment_DEPRESSION_COV,MEDCODEID,294824018,narrow,294824018
Depression,Ment_DEPRESSION_COV,MEDCODEID,294825017,narrow,294825017
Depression,Ment_DEPRESSION_COV,MEDCODEID,294826016,narrow,294826016
Depression,Ment_DEPRESSION_COV,MEDCODEID,294828015,narrow,294828015
Depression,Ment_DEPRESSION_COV,MEDCODEID,294831019,narrow,294831019
Depression,Ment_DEPRESSION_COV,MEDCODEID,294832014,narrow,294832014
Depression,Ment_DEPRESSION_COV,MEDCODEID,294836012,narrow,294836012
Depression,Ment_DEPRESSION_COV,MEDCODEID,294837015,narrow,294837015
Depression,Ment_DEPRESSION_COV,MEDCODEID,294838013,narrow,294838013
Depression,Ment_DEPRESSION_COV,MEDCODEID,294840015,narrow,294840015
Depression,Ment_DEPRESSION_COV,MEDCODEID,294843018,narrow,294843018
Depression,Ment_DEPRESSION_COV,MEDCODEID,294844012,narrow,294844012
Depression,Ment_DEPRESSION_COV,MEDCODEID,294845013,narrow,294845013
Depression,Ment_DEPRESSION_COV,MEDCODEID,294847017,narrow,294847017
Depression,Ment_DEPRESSION_COV,MEDCODEID,294860011,narrow,294860011
Depression,Ment_DEPRESSION_COV,MEDCODEID,294891017,narrow,294891017
Depression,Ment_DEPRESSION_COV,MEDCODEID,294892012,narrow,294892012
Depression,Ment_DEPRESSION_COV,MEDCODEID,294894013,narrow,294894013
